Names,,,,Hours,Minutes,Seconds,RA,Sign,Degrees,Minutes,Seconds,Dec,,Abs. Mag,Distance   (parsecs),App. Mag,Star Class,,,,,,Lat Conversion,Lon Conversion,,Latitude,Longitude
RS 1234-340-3-182-102,,,,22,1,53.82,22.03161667,-1,-28,37,38.62,-28.62739444,,-1.44,356.97,6.32,B2.6 V,,,,,,28.62739444,150.47425,,28.62739444,150.47425
RS 1234-340-3-182-113,,,,22,4,32.1,22.07558333,-1,-29,34,20.06,-29.57223889,,-1.62,350.68,6.10,B1.9 V,,,,,,29.57223889,151.13375,,29.57223889,151.13375
RS 1234-340-3-182-71,,,,21,45,58.09,21.76613611,-1,-21,17,54.16,-21.29837778,,-1.23,304.07,6.18,B3.4 V,,,,,,21.29837778,146.4920417,,21.29837778,146.4920417
RS 1234-340-4-1446-16,,,,21,9,7.18,21.15199444,-1,-24,49,45.46,-24.82929444,,0.07,143.11,5.85,B8.6 V,,,,,,24.82929444,137.2799167,,24.82929444,137.2799167
RS 1234-340-4-1446-148,,,,21,14,50.1,21.24725,-1,-26,4,33.99,-26.07610833,,0.07,143.11,5.85,B8.2 V,,,,,,26.07610833,138.70875,,26.07610833,138.70875
RS 1234-340-3-182-179,,,,21,28,30.63,21.475175,-1,-26,49,53.62,-26.83156111,,-0.73,203.63,5.81,B5.4 V,,,,,,26.83156111,142.127625,,26.83156111,142.127625
RS 1234-340-3-180-159,,,,20,52,36.5,20.87680556,-1,-22,10,37.67,-22.17713056,,-1.05,171.82,5.13,B4.1 V,,,,,,22.17713056,133.1520833,,22.17713056,133.1520833
RS 1234-340-4-1446-188,,,,20,55,33.76,20.92604444,-1,-23,9,28.04,-23.15778889,,-0.15,102.27,4.90,B7.7 V,,,,,,23.15778889,133.8906667,,23.15778889,133.8906667
RS 1234-340-3-180-169,,,,20,39,19.44,20.6554,-1,-27,25,58.87,-27.43301944,,-0.42,180.64,5.86,B6.6 V,,,,,,27.43301944,129.831,,27.43301944,129.831
RS 1234-340-4-1446-122,,,,19,24,51.23,19.41423056,-1,-26,39,58.17,-26.66615833,,0.01,120.86,5.42,B8.3 V,,,,,,26.66615833,111.2134583,,26.66615833,111.2134583
RS 1234-340-4-1446-124,,,,19,21,50.32,19.36397778,-1,-29,53,48.88,-29.89691111,,-0.13,152.02,5.78,B7.8 V,,,,,,29.89691111,110.4596667,,29.89691111,110.4596667
RS 1234-340-3-180-111,,,,18,52,48.75,18.88020833,-1,-26,44,31.62,-26.74211667,,-1.02,139.86,4.71,B4.2 V,,,,,,26.74211667,103.203125,,26.74211667,103.203125
RS 1234-340-3-180-66,,,,16,8,8.07,16.135575,-1,-24,41,46.46,-24.69623889,,-0.94,228.03,5.85,B4.6 V,,,,,,24.69623889,62.033625,,24.69623889,62.033625
RS 1234-340-4-1444-120,,,,15,49,6.44,15.81845556,-1,-23,2,58.16,-23.04948889,,0.39,104,5.48,B9.8 V,,,,,,23.04948889,57.27683333,,23.04948889,57.27683333
RS 1234-340-4-1444-42,,,,15,46,45.08,15.77918889,-1,-23,58,26.21,-23.97394722,,0.19,128.68,5.74,B9 V,,,,,,23.97394722,56.68783333,,23.97394722,56.68783333
RS 1234-340-2-22-131,,,,15,47,1.12,15.78364444,-1,-28,5,14.03,-28.08723056,,-1.78,347.86,5.93,B1.2 V,,,,,,28.08723056,56.75466667,,28.08723056,56.75466667
RS 1234-340-4-1444-204,,,,14,40,35.46,14.67651667,-1,-21,22,20.93,-21.37248056,,0.1,173.77,6.30,B8.7 V,,,,,,21.37248056,40.14775,,21.37248056,40.14775
RS 1234-340-3-180-82,,,,14,47,8.96,14.78582222,-1,-27,16,59.04,-27.28306667,,-1.46,221.91,5.27,B2.5 V,,,,,,27.28306667,41.78733333,,27.28306667,41.78733333
RS 1234-340-4-1444-255,,,,14,51,57.5,14.86597222,-1,-29,19,20.98,-29.32249444,,0.32,124.3,5.79,B9.6 V,,,,,,29.32249444,42.98958333,,29.32249444,42.98958333
RS 1234-340-3-180-160,,,,13,58,6.6,13.9685,-1,-22,12,44.16,-22.21226667,,-1.28,122.23,4.16,B3.2 V,,,,,,22.21226667,29.5275,,22.21226667,29.5275
RS 1234-340-3-166-23,,,,13,45,13.51,13.75375278,-1,-23,48,4.63,-23.80128611,,-1.38,298.73,6.00,B2.8 V,,,,,,23.80128611,26.30629167,,23.80128611,26.30629167
RS 1234-340-3-166-92,,,,13,35,57.36,13.59926667,-1,-22,20,31.36,-22.34204444,,-1.09,284.87,6.18,B4 V,,,,,,22.34204444,23.989,,22.34204444,23.989
RS 1234-340-4-1444-90,,,,13,16,41.64,13.27823333,-1,-23,16,25.24,-23.27367778,,-0.11,160.68,5.92,B7.9 V,,,,,,23.27367778,19.1735,,23.27367778,19.1735
RS 1234-340-3-166-70,,,,13,27,40.24,13.46117778,-1,-29,8,57.16,-29.14921111,,-1.58,336.35,6.05,B2 V,,,,,,29.14921111,21.91766667,,29.14921111,21.91766667
RS 1234-340-3-166-194,,,,12,59,47.47,12.99651944,-1,-28,46,1.62,-28.76711667,,-1.09,250.79,5.91,B4 V,,,,,,28.76711667,14.94779167,,28.76711667,14.94779167
RS 1234-340-3-166-79,,,,12,54,2.63,12.90073056,-1,-27,4,17.36,-27.07148889,,-1.35,309.21,6.10,B2.9 V,,,,,,27.07148889,13.51095833,,27.07148889,13.51095833
RS 1234-340-3-166-14,,,,12,46,48.81,12.780225,-1,-29,17,4.27,-29.28451944,,-1.29,253.19,5.73,B3.2 V,,,,,,29.28451944,11.703375,,29.28451944,11.703375
RS 1234-340-4-1444-246,,,,12,41,56.2,12.69894444,-1,-22,17,19.23,-22.288675,,0.01,149.7,5.89,B8.3 V,,,,,,22.288675,10.48416667,,22.288675,10.48416667
RS 1234-340-4-1444-207,,,,12,36,53.64,12.6149,-1,-28,49,12.59,-28.82016389,,0.32,144.87,6.12,B9.6 V,,,,,,28.82016389,9.2235,,28.82016389,9.2235
RS 1234-340-4-1444-173,,,,12,17,52.42,12.29789444,-1,-24,34,47.81,-24.57994722,,0.35,110.04,5.56,B9.7 V,,,,,,24.57994722,4.468416667,,24.57994722,4.468416667
RS 1234-340-3-166-72,,,,12,11,37.4,12.19372222,-1,-24,46,45.66,-24.77935,,-1.43,277.8,5.79,B2.6 V,,,,,,24.77935,2.905833333,,24.77935,2.905833333
RS 1234-340-2-20-48,,,,11,13,42.03,11.22834167,-1,-21,15,43.28,-21.26202222,,-1.76,205.51,4.80,B1.3 V,,,,,,21.26202222,-11.574875,,21.26202222,-11.574875
RS 1234-340-3-166-136,,,,11,26,18.03,11.43834167,-1,-20,12,54.07,-20.21501944,,-0.73,261.77,6.36,B5.4 V,,,,,,20.21501944,-8.424875,,20.21501944,-8.424875
RS 1234-340-3-166-153,,,,11,52,33.27,11.87590833,-1,-23,31,0.28,-23.51674444,,-1.57,364.6,6.24,B2 V,,,,,,23.51674444,-1.861375,,23.51674444,-1.861375
RS 1234-340-4-1444-18,,,,11,32,51.13,11.54753611,-1,-23,9,45.54,-23.16265,,-0.12,139.86,5.61,B7.9 V,,,,,,23.16265,-6.786958333,,23.16265,-6.786958333
RS 1234-340-3-166-9,,,,11,26,1.49,11.43374722,-1,-22,45,4.53,-22.75125833,,-1.58,317.61,5.93,B2 V,,,,,,22.75125833,-8.493791667,,22.75125833,-8.493791667
RS 1234-340-3-166-191,,,,11,45,29.76,11.75826667,-1,-24,31,12.25,-24.52006944,,-1.15,223.03,5.59,B3.7 V,,,,,,24.52006944,-3.626,,24.52006944,-3.626
RS 1234-340-3-166-43,,,,11,9,9.61,11.15266944,-1,-24,33,21.75,-24.55604167,,-1.44,205.35,5.12,B2.6 V,,,,,,24.55604167,-12.70995833,,24.55604167,-12.70995833
RS 1234-340-2-20-87,,,,11,42,45.07,11.71251944,-1,-25,13,14.65,-25.22073611,,-1.88,256.53,5.17,B0.8 V,,,,,,25.22073611,-4.312208333,,25.22073611,-4.312208333
RS 1234-340-3-166-181,,,,11,27,55.84,11.46551111,-1,-25,14,41.78,-25.24493889,,-1.6,323.76,5.95,B1.9 V,,,,,,25.24493889,-8.017333333,,25.24493889,-8.017333333
RS 1234-340-3-166-162,,,,11,6,44.26,11.11229444,-1,-26,12,10.83,-26.20300833,,-1.56,328.24,6.02,B2.1 V,,,,,,26.20300833,-13.31558333,,26.20300833,-13.31558333
RS 1234-340-3-166-114,,,,11,49,2.43,11.81734167,-1,-28,25,52.91,-28.43136389,,-0.38,226.95,6.40,B6.8 V,,,,,,28.43136389,-2.739875,,28.43136389,-2.739875
RS 1234-340-3-166-228,,,,11,18,16.24,11.30451111,-1,-28,53,35.81,-28.89328056,,-0.45,240.85,6.46,B6.5 V,,,,,,28.89328056,-10.43233333,,28.89328056,-10.43233333
RS 1234-340-3-166-126,,,,11,14,13.06,11.23696111,-1,-28,38,24.23,-28.64006389,,-1.13,241.26,5.78,B3.8 V,,,,,,28.64006389,-11.44558333,,28.64006389,-11.44558333
RS 1234-285-3-239-136,,,,10,6,38.83,10.11078611,-1,-21,11,2.27,-21.18396389,,-1.21,335.81,6.42,B3.5 V,,,,,,21.18396389,-28.33820833,,21.18396389,-28.33820833
RS 1234-285-3-239-143,,,,10,37,1.36,10.61704444,-1,-21,41,18.55,-21.68848611,,-1.42,339.53,6.23,B2.6 V,,,,,,21.68848611,-20.74433333,,21.68848611,-20.74433333
RS 1234-285-4-2029-234,,,,10,45,45.05,10.76251389,-1,-22,20,24.35,-22.34009722,,0.31,143.16,6.09,B9.5 V,,,,,,22.34009722,-18.56229167,,22.34009722,-18.56229167
RS 1234-285-3-239-191,,,,10,41,41.66,10.69490556,-1,-22,50,42.99,-22.845275,,-1.61,202.23,4.92,B1.9 V,,,,,,22.845275,-19.57641667,,22.845275,-19.57641667
RS 1234-285-3-239-88,,,,10,23,26.21,10.39061389,-1,-25,15,4.12,-25.25114444,,-0.37,227,6.41,B6.9 V,,,,,,25.25114444,-24.14079167,,25.25114444,-24.14079167
RS 1234-340-4-1444-10,,,,10,47,24.92,10.79025556,-1,-24,31,52.64,-24.53128889,,0.3,128.82,5.85,B9.5 V,,,,,,24.53128889,-18.14616667,,24.53128889,-18.14616667
RS 1234-340-4-1444-101,,,,10,46,44.79,10.77910833,-1,-25,46,40.43,-25.77789722,,-0.11,149.56,5.76,B7.9 V,,,,,,25.77789722,-18.313375,,25.77789722,-18.313375
RS 1234-285-3-239-114,,,,9,59,12.15,9.986708333,-1,-21,4,49.33,-21.08036944,,-1.54,250.11,5.45,B2.2 V,,,,,,21.08036944,-30.199375,,21.08036944,-30.199375
RS 1234-285-3-239-162,,,,9,45,50.55,9.764041667,-1,-20,54,49.84,-20.91384444,,-0.97,271.66,6.20,B4.5 V,,,,,,20.91384444,-33.539375,,20.91384444,-33.539375
RS 1234-285-3-239-180,,,,9,42,53.64,9.7149,-1,-21,18,15.56,-21.30432222,,-1.32,286.44,5.97,B3.1 V,,,,,,21.30432222,-34.2765,,21.30432222,-34.2765
RS 1234-285-4-2029-140,,,,9,13,57.83,9.232730556,-1,-20,22,58.95,-20.38304167,,0.14,145.65,5.96,B8.8 V,,,,,,20.38304167,-41.50904167,,20.38304167,-41.50904167
RS 1234-285-3-253-23,,,,9,10,36.31,9.176752778,-1,-21,3,45.5,-21.06263889,,-0.39,169.22,5.75,B6.8 V,,,,,,21.06263889,-42.34870833,,21.06263889,-42.34870833
RS 1234-285-3-239-81,,,,9,39,50.02,9.663894444,-1,-22,24,59,-22.41638889,,-1.69,272.94,5.49,B1.6 V,,,,,,22.41638889,-35.04158333,,22.41638889,-35.04158333
RS 1234-285-3-239-2,,,,9,8,2.4,9.134,-1,-22,19,34.9,-22.32636111,,-1.18,183.75,5.14,B3.6 V,,,,,,22.32636111,-42.99,,22.32636111,-42.99
RS 1234-285-4-2029-184,,,,9,20,38.79,9.344108333,-1,-25,39,29.22,-25.65811667,,-0.01,133.89,5.62,B8.3 V,,,,,,25.65811667,-39.838375,,25.65811667,-39.838375
RS 1234-285-3-239-181,,,,8,49,40.75,8.827986111,-1,-24,35,3.1,-24.58419444,,-1.14,245.35,5.81,B3.8 V,,,,,,24.58419444,-47.58020833,,24.58419444,-47.58020833
RS 1234-285-4-2029-119,,,,8,36,2.04,8.600566667,-1,-28,58,39.42,-28.97761667,,0.22,150.24,6.10,B9.2 V,,,,,,28.97761667,-50.9915,,28.97761667,-50.9915
RS 1234-285-3-239-132,,,,8,21,44.6,8.362388889,-1,-29,36,30.91,-29.60858611,,-1.13,265.81,5.99,B3.8 V,,,,,,29.60858611,-54.56416667,,29.60858611,-54.56416667
RS 1234-285-4-2029-33,,,,7,18,45.64,7.312677778,-1,-20,57,51.08,-20.96418889,,-0.06,116.56,5.27,B8.1 V,,,,,,20.96418889,-70.30983333,,20.96418889,-70.30983333
RS 1234-285-4-2029-2,,,,7,14,39.98,7.244438889,-1,-21,33,3.15,-21.550875,,0.09,179.15,6.36,B8.6 V,,,,,,21.550875,-71.33341667,,21.550875,-71.33341667
RS 1234-285-3-253-59,,,,7,57,27.67,7.957686111,-1,-23,35,30.64,-23.59184444,,-1.56,115.97,3.76,B2.1 V,,,,,,23.59184444,-60.63470833,,23.59184444,-60.63470833
RS 1234-285-4-2029-238,,,,7,54,20.96,7.905822222,-1,-25,18,38.96,-25.31082222,,0.21,107.76,5.37,B9.1 V,,,,,,25.31082222,-61.41266667,,25.31082222,-61.41266667
RS 1234-285-3-253-92,,,,7,34,0.69,7.566858333,-1,-25,46,10.8,-25.76966667,,-1.48,233.22,5.36,B2.4 V,,,,,,25.76966667,-66.497125,,25.76966667,-66.497125
RS 1234-285-3-239-49,,,,7,35,20.9,7.589138889,-1,-26,7,8.11,-26.11891944,,-1.07,282.53,6.19,B4.1 V,,,,,,26.11891944,-66.16291667,,26.11891944,-66.16291667
RS 1234-285-3-253-60,,,,7,50,27.72,7.841033333,-1,-26,49,21.62,-26.82267222,,-0.76,203.15,5.78,B5.3 V,,,,,,26.82267222,-62.3845,,26.82267222,-62.3845
RS 1234-285-4-2029-161,,,,7,39,48.32,7.663422222,-1,-28,13,13.35,-28.220375,,-0.01,165.87,6.09,B8.3 V,,,,,,28.220375,-65.04866667,,28.220375,-65.04866667
RS 1234-285-2-29-131,,,,7,59,57.6,7.999333333,-1,-29,52,25.09,-29.87363611,,-2.03,236.79,4.84,B0.2 V,,,,,,29.87363611,-60.01,,29.87363611,-60.01
RS 1234-285-3-239-83,,,,7,22,13.99,7.370552778,-1,-29,56,54.84,-29.94856667,,-1.57,360.5,6.21,B2.1 V,,,,,,29.94856667,-69.44170833,,29.94856667,-69.44170833
RS 1234-285-4-2029-39,,,,6,52,19.64,6.872122222,-1,-27,52,3.57,-27.86765833,,0.19,126.69,5.70,B9 V,,,,,,27.86765833,-76.91816667,,27.86765833,-76.91816667
RS 1234-285-4-2029-165,,,,6,36,45.18,6.61255,-1,-20,21,13.62,-20.35378333,,0.3,133.68,5.93,B9.5 V,,,,,,20.35378333,-80.81175,,20.35378333,-80.81175
RS 1234-285-4-2029-89,,,,6,23,26.65,6.390736111,-1,-20,26,34.86,-20.44301667,,0.25,112.78,5.51,B9.3 V,,,,,,20.44301667,-84.13895833,,20.44301667,-84.13895833
RS 1234-285-3-253-124,,,,5,25,37.49,5.427080556,-1,-29,23,26.56,-29.39071111,,-0.73,259.98,6.34,B5.4 V,,,,,,29.39071111,-98.59379167,,29.39071111,-98.59379167
RS 1234-285-4-2031-219,,,,4,25,16.06,4.421127778,-1,-27,16,15.06,-27.27085,,0.08,137.88,5.78,B8.6 V,,,,,,27.27085,-113.6830833,,27.27085,-113.6830833
RS 1234-285-4-2031-167,,,,4,9,11.5,4.153194444,-1,-29,34,52.94,-29.58137222,,0.41,141.03,6.16,B9.9 V,,,,,,29.58137222,-117.7020833,,29.58137222,-117.7020833
RS 1234-285-4-2031-92,,,,3,41,12.6,3.686833333,-1,-25,17,55.68,-25.2988,,0.39,162.62,6.45,B9.8 V,,,,,,25.2988,-124.6975,,25.2988,-124.6975
RS 1234-285-3-253-82,,,,3,43,20.61,3.722391667,-1,-22,41,45,-22.69583333,,-1.25,347.44,6.45,B3.3 V,,,,,,22.69583333,-124.164125,,22.69583333,-124.164125
RS 1234-285-4-2031-21,,,,3,32,3.5,3.534305556,-1,-23,50,2.87,-23.83413056,,0.05,130.29,5.62,B8.5 V,,,,,,23.83413056,-126.9854167,,23.83413056,-126.9854167
RS 1234-285-2-31-23,,,,3,29,27.72,3.491033333,-1,-24,35,44.48,-24.59568889,,-1.77,317.8,5.74,B1.2 V,,,,,,24.59568889,-127.6345,,24.59568889,-127.6345
RS 1234-285-4-2031-119,,,,2,45,39.71,2.761030556,-1,-27,19,26.11,-27.32391944,,-0.1,167.72,6.02,B7.9 V,,,,,,27.32391944,-138.5845417,,27.32391944,-138.5845417
RS 1234-285-2-31-109,,,,2,21,26.08,2.357244444,-1,-27,19,44.75,-27.32909722,,-1.99,485.98,6.44,B0.4 V,,,,,,27.32909722,-144.6413333,,27.32909722,-144.6413333
RS 1234-285-3-253-104,,,,1,57,5.503,1.951528611,-1,-11,25,16.21,-11.42116944,,-0.62,178.13,5.63,B5.8 V,,,,,,11.42116944,-150.7270708,,11.42116944,-150.7270708
RS 1234-285-3-255-136,,,,1,36,38.52,1.6107,-1,-17,4,27.31,-17.07425278,,-1.49,367.13,6.33,B2.4 V,,,,,,17.07425278,-155.8395,,17.07425278,-155.8395
RS 1234-285-4-2031-109,,,,1,25,21.99,1.422775,-1,-17,17,40.01,-17.29444722,,0.22,158.73,6.22,B9.2 V,,,,,,17.29444722,-158.658375,,17.29444722,-158.658375
RS 1234-285-3-253-97,,,,1,29,22.71,1.489641667,-1,-18,55,50.57,-18.93071389,,-1.57,171.97,4.61,B2 V,,,,,,18.93071389,-157.655375,,18.93071389,-157.655375
RS 1234-285-3-255-152,,,,1,22,17.66,1.371572222,-1,-12,25,2.05,-12.41723611,,-0.34,218.23,6.35,B7 V,,,,,,12.41723611,-159.4264167,,12.41723611,-159.4264167
RS 1234-285-3-255-174,,,,1,0,30.24,1.0084,-1,-13,58,29.5,-13.97486111,,-1.47,339.19,6.18,B2.5 V,,,,,,13.97486111,-164.874,,13.97486111,-164.874
RS 1234-285-3-253-159,,,,1,1,12.62,1.020172222,-1,-18,9,6.47,-18.15179722,,-0.74,167.97,5.39,B5.4 V,,,,,,18.15179722,-164.6974167,,18.15179722,-164.6974167
RS 1234-285-3-255-83,,,,0,57,58.58,0.966272222,-1,-16,43,3.91,-16.71775278,,-0.91,294.6,6.44,B4.7  V,,,,,,16.71775278,-165.5059167,,16.71775278,-165.5059167
RS 1234-285-3-255-34,,,,0,45,51.09,0.764191667,-1,-17,32,21.47,-17.53929722,,-1.01,294.59,6.34,B4.3 V,,,,,,17.53929722,-168.537125,,17.53929722,-168.537125
RS 1234-285-3-253-145,,,,0,30,59.18,0.516438889,-1,-15,15,34.14,-15.25948333,,-0.31,143.76,5.48,B7.1 V,,,,,,15.25948333,-172.2534167,,15.25948333,-172.2534167
RS 1234-285-3-255-165,,,,0,9,28.87,0.158019444,-1,-15,26,30.1,-15.44169444,,-1.02,265.63,6.10,B4.2 V,,,,,,15.44169444,-177.6297083,,15.44169444,-177.6297083
RS 1234-285-3-253-29,,,,0,4,12.15,0.070041667,-1,-15,56,58.29,-15.949525,,-1.69,139.74,4.04,B1.6 V,,,,,,15.949525,-178.949375,,15.949525,-178.949375
RS 1234-285-3-255-88,,,,0,24,41.47,0.411519444,-1,-18,25,2.07,-18.41724167,,-1.3,223.61,5.45,B3.1 V,,,,,,18.41724167,-173.8272083,,18.41724167,-173.8272083
RS 1234-340-4-1446-136,,,,23,28,11.89,23.46996944,-1,-11,1,29.67,-11.02490833,,-0.13,119.33,5.25,B7.8 V,,,,,,11.02490833,172.0495417,,11.02490833,172.0495417
RS 1234-285-3-255-53,,,,23,54,33.66,23.90935,-1,-13,36,16.26,-13.60451667,,-1.16,242.12,5.76,B3.7 V,,,,,,13.60451667,178.64025,,13.60451667,178.64025
RS 1234-285-3-255-137,,,,23,40,23.08,23.67307778,-1,-13,15,46.24,-13.26284444,,-0.58,220.14,6.13,B6 V,,,,,,13.26284444,175.0961667,,13.26284444,175.0961667
RS 1234-340-2-22-29,,,,23,20,23.63,23.33989722,-1,-13,27,46.88,-13.46302222,,-1.82,442.91,6.41,B1 V,,,,,,13.46302222,170.0984583,,13.46302222,170.0984583
RS 1234-340-3-182-168,,,,23,30,35.31,23.50980833,-1,-14,16,22.74,-14.27298333,,-1.17,293.85,6.17,B3.7 V,,,,,,14.27298333,172.647125,,14.27298333,172.647125
RS 1234-285-3-255-199,,,,23,35,54.57,23.59849167,-1,-14,38,50.5,-14.64736111,,-1.14,317.51,6.37,B3.8 V,,,,,,14.64736111,173.977375,,14.64736111,173.977375
RS 1234-285-4-2031-27,,,,23,42,39.59,23.71099722,-1,-15,24,23.16,-15.40643333,,0.27,124.46,5.75,B9.4 V,,,,,,15.40643333,175.6649583,,15.40643333,175.6649583
RS 1234-340-3-182-149,,,,23,24,21.3,23.40591667,-1,-15,56,32.65,-15.94240278,,-0.99,158.51,5.01,B4.4 V,,,,,,15.94240278,171.08875,,15.94240278,171.08875
RS 1234-340-4-1460-117,,,,23,21,58.97,23.36638056,-1,-15,59,41.89,-15.99496944,,0.37,156.83,6.35,B9.8 V,,,,,,15.99496944,170.4957083,,15.99496944,170.4957083
RS 1234-340-4-1446-76,,,,23,1,45.01,23.02916944,-1,-18,26,30.48,-18.4418,,-0.17,130.45,5.41,B7.7 V,,,,,,18.4418,165.4375417,,18.4418,165.4375417
RS 1234-285-3-255-4,,,,23,52,8.42,23.86900556,-1,-19,37,33.24,-19.6259,,-1.58,348.06,6.13,B2 V,,,,,,19.6259,178.0350833,,19.6259,178.0350833
RS 1234-285-2-31-124,,,,23,36,58.94,23.61637222,-1,-19,42,37.58,-19.71043889,,-2.06,399.79,5.95,B0.1 V,,,,,,19.71043889,174.2455833,,19.71043889,174.2455833
RS 1234-340-3-182-145,,,,23,26,44.81,23.44578056,-1,-19,13,50.1,-19.23058333,,-0.87,271.22,6.30,B4.9 V,,,,,,19.23058333,171.6867083,,19.23058333,171.6867083
RS 1234-340-3-182-117,,,,23,24,26.81,23.40744722,-1,-19,47,14.6,-19.78738889,,-1.23,288.75,6.07,B3.4 V,,,,,,19.78738889,171.1117083,,19.78738889,171.1117083
RS 1234-340-3-182-95,,,,22,47,20.33,22.78898056,-1,-16,30,6.79,-16.50188611,,-0.84,222.39,5.90,B5 V,,,,,,16.50188611,161.8347083,,16.50188611,161.8347083
RS 1234-340-3-182-135,,,,22,37,31.69,22.62546944,-1,-19,24,2.26,-19.40062778,,-1.34,258.17,5.72,B3 V,,,,,,19.40062778,159.3820417,,19.40062778,159.3820417
RS 1234-340-3-182-173,,,,22,34,35.14,22.57642778,-1,-19,48,36.42,-19.81011667,,-1.13,239.53,5.77,B3.8 V,,,,,,19.81011667,158.6464167,,19.81011667,158.6464167
RS 1234-340-2-22-123,,,,22,22,29.16,22.37476667,-1,-18,54,2.64,-18.90073333,,-1.96,408.46,6.10,B0.5 V,,,,,,18.90073333,155.6215,,18.90073333,155.6215
RS 1234-340-4-1446-31,,,,22,16,38.37,22.277325,-1,-12,23,56.79,-12.39910833,,0.06,138.98,5.77,B8.5 V,,,,,,12.39910833,154.159875,,12.39910833,154.159875
RS 1234-340-2-22-103,,,,21,51,14.94,21.85415,-1,-18,50,57.18,-18.84921667,,-1.91,378.13,5.98,B0.7 V,,,,,,18.84921667,147.81225,,18.84921667,147.81225
RS 1234-340-4-1460-53,,,,21,45,33.71,21.75936389,-1,-17,0,24.56,-17.00682222,,-0.04,170.01,6.11,B8.2 V,,,,,,17.00682222,146.3904583,,17.00682222,146.3904583
RS 1234-340-4-1460-135,,,,21,40,9.61,21.66933611,-1,-15,37,46.44,-15.62956667,,-0.15,192.39,6.27,B7.7 V,,,,,,15.62956667,145.0400417,,15.62956667,145.0400417
RS 1234-340-4-1446-11,,,,21,30,38.56,21.51071111,-1,-10,11,14.2,-10.18727778,,-0.11,118.01,5.25,B7.9 V,,,,,,10.18727778,142.6606667,,10.18727778,142.6606667
RS 1234-340-2-22-45,,,,21,11,28.92,21.19136667,-1,-10,33,16.39,-10.55455278,,-1.91,301.36,5.49,B0.7 V,,,,,,10.55455278,137.8705,,10.55455278,137.8705
RS 1234-340-3-180-41,,,,21,16,11.2,21.26977778,-1,-13,16,2.74,-13.26742778,,-0.79,145.6,5.03,B5.2 V,,,,,,13.26742778,139.0466667,,13.26742778,139.0466667
RS 1234-340-3-180-106,,,,21,23,0.1,21.38336111,-1,-15,34,43.26,-15.57868333,,-0.83,140.18,4.90,B5 V,,,,,,15.57868333,140.7504167,,15.57868333,140.7504167
RS 1234-340-3-182-109,,,,21,5,15.78,21.08771667,-1,-19,6,10.3,-19.10286111,,-1.33,258.44,5.73,B3 V,,,,,,19.10286111,136.31575,,19.10286111,136.31575
RS 1234-340-2-22-143,,,,20,49,22.87,20.82301944,-1,-10,30,38.25,-10.510625,,-1.97,152.58,3.95,B0.5 V,,,,,,10.510625,132.3452917,,10.510625,132.3452917
RS 1234-340-3-182-64,,,,20,30,11.48,20.50318889,-1,-11,7,2.24,-11.11728889,,-1.26,255.45,5.78,B3.3 V,,,,,,11.11728889,127.5478333,,11.11728889,127.5478333
RS 1234-340-4-1446-143,,,,20,29,41.1,20.49475,-1,-12,40,34.28,-12.67618889,,-0.01,123.85,5.45,B8.3 V,,,,,,12.67618889,127.42125,,12.67618889,127.42125
RS 1234-340-3-182-116,,,,20,16,17.3,20.27147222,-1,-12,15,7.18,-12.25199444,,-1.22,215.46,5.45,B3.5 V,,,,,,12.25199444,124.0720833,,12.25199444,124.0720833
RS 1234-340-3-180-13,,,,20,22,40.47,20.37790833,-1,-18,7,57.72,-18.1327,,-0.52,199.63,5.98,B6.2 V,,,,,,18.1327,125.668625,,18.1327,125.668625
RS 1234-340-4-1446-23,,,,19,51,48.99,19.86360833,-1,-13,27,12.16,-13.45337778,,0.18,163.38,6.25,B9 V,,,,,,13.45337778,117.954125,,13.45337778,117.954125
RS 1234-340-4-1446-209,,,,19,14,25.19,19.24033056,-1,-19,39,2.12,-19.65058889,,0.2,111.89,5.44,B9.1 V,,,,,,19.65058889,108.6049583,,19.65058889,108.6049583
RS 1234-340-4-3202-161,,,,18,9,39.1,18.16086111,-1,-15,57,5.72,-15.95158889,,-0.08,127.8,5.45,B8 V,,,,,,15.95158889,92.41291667,,15.95158889,92.41291667
RS 1234-340-4-3203-80,,,,18,4,43.79,18.07883056,-1,-12,3,23.81,-12.05661389,,0.38,148.7,6.24,B9.8 V,,,,,,12.05661389,91.18245833,,12.05661389,91.18245833
RS 1234-340-4-3202-160,,,,18,0,2.6,18.00072222,-1,-12,39,30.61,-12.65850278,,-0.07,118.2,5.29,B8.1 V,,,,,,12.65850278,90.01083333,,12.65850278,90.01083333
RS 1234-340-4-3202-201,,,,17,45,18.4,17.75511111,-1,-14,51,24.84,-14.8569,,0.41,137.84,6.11,B9.9 V,,,,,,14.8569,86.32666667,,14.8569,86.32666667
RS 1234-340-3-180-174,,,,17,25,7.23,17.418675,-1,-18,28,20.96,-18.47248889,,-0.19,147.27,5.65,B7.6 V,,,,,,18.47248889,81.280125,,18.47248889,81.280125
RS 1234-340-3-400-81,,,,17,14,57.13,17.24920278,-1,-18,9,48.02,-18.16333889,,-1.54,120.93,3.87,B2.2 V,,,,,,18.16333889,78.73804167,,18.16333889,78.73804167
RS 1234-340-4-3201-7,,,,16,17,56.21,16.29894722,-1,-10,10,22.79,-10.17299722,,-0.16,202.26,6.37,B7.7 V,,,,,,10.17299722,64.48420833,,10.17299722,64.48420833
